home_team_odds,away_team_odds,match_date,odd_1,odd_x,odd_2,home_team_model,away_team_model,prob_home_win,prob_draw,prob_away_win,ev_1,ev_x,ev_2,value_bet,best_bet
Qatar,Switzerland,2026-06-13 21:04,120.0,11.0,1.01,Qatar,Switzerland,17.9,25.1,57.0,20.48,1.761,-0.4243,✅ YES,1 (Home)  EV=+2048.00%
Brazil,Morocco,2026-06-14 00:00,1.62,3.8,5.7,Brazil,Morocco,45.9,26.1,28.0,-0.2564,-0.0082,0.596,✅ YES,2 (Away)  EV=+59.60%
Haiti,Scotland,2026-06-14 03:00,6.0,4.5,1.5,Haiti,Scotland,20.9,25.5,53.5,0.254,0.1475,-0.1975,✅ YES,1 (Home)  EV=+25.40%
Australia,Turkey,2026-06-14 06:00,5.3,3.8,1.65,Australia,Turkey,32.2,26.6,41.2,0.7066,0.0108,-0.3202,✅ YES,1 (Home)  EV=+70.66%
Germany,Curaçao,2026-06-14 19:00,1.04,22.0,40.0,Germany,Curaçao,62.8,23.0,14.2,-0.3469,4.06,4.68,✅ YES,2 (Away)  EV=+468.00%
Netherlands,Japan,2026-06-14 22:00,1.95,3.6,3.8,Netherlands,Japan,44.5,25.3,30.1,-0.1322,-0.0892,0.1438,✅ YES,2 (Away)  EV=+14.38%
Ivory Coast,Ecuador,2026-06-15 01:00,3.2,2.85,2.55,Ivory Coast,Ecuador,36.3,26.4,37.3,0.1616,-0.2476,-0.0489,✅ YES,1 (Home)  EV=+16.16%
Sweden,Tunisia,2026-06-15 04:00,1.85,3.6,4.2,Sweden,Tunisia,41.0,27.2,31.8,-0.2415,-0.0208,0.3356,✅ YES,2 (Away)  EV=+33.56%
Spain,Cape Verde,2026-06-15 18:00,1.07,12.0,25.0,Spain,Cape Verde Islands,60.7,24.0,15.3,-0.3505,1.88,2.825,✅ YES,2 (Away)  EV=+282.50%
Belgium,Egypt,2026-06-15 21:00,1.57,4.1,5.7,Belgium,Egypt,44.6,26.5,28.9,-0.2998,0.0865,0.6473,✅ YES,2 (Away)  EV=+64.73%
Saudi Arabia,Uruguay,2026-06-16 00:00,8.5,4.5,1.4,Saudi Arabia,Uruguay,24.9,26.4,48.8,1.1165,0.188,-0.3168,✅ YES,1 (Home)  EV=+111.65%
Iran,New Zealand,2026-06-16 03:00,1.77,3.5,4.9,Iran,New Zealand,47.3,27.5,25.3,-0.1628,-0.0375,0.2397,✅ YES,2 (Away)  EV=+23.97%
France,Senegal,2026-06-16 21:00,1.45,4.5,7.0,France,Senegal,50.7,24.8,24.4,-0.2649,0.116,0.708,✅ YES,2 (Away)  EV=+70.80%
Iraq,Norway,2026-06-17 00:00,15.0,7.5,1.17,Iraq,Norway,24.5,25.4,50.2,2.675,0.905,-0.4127,✅ YES,1 (Home)  EV=+267.50%
Argentina,Algeria,2026-06-17 03:00,1.35,4.8,9.5,Argentina,Algeria,57.7,23.6,18.7,-0.221,0.1328,0.7765,✅ YES,2 (Away)  EV=+77.65%
Austria,Jordan,2026-06-17 06:00,1.3,5.7,9.0,Austria,Jordan,50.6,25.9,23.5,-0.3422,0.4763,1.115,✅ YES,2 (Away)  EV=+111.50%
Portugal,DR Congo,2026-06-17 19:00,1.25,5.8,12.0,Portugal,Congo DR,58.8,23.2,18.0,-0.265,0.3456,1.16,✅ YES,2 (Away)  EV=+116.00%
England,Croatia,2026-06-17 22:00,1.67,3.9,5.0,England,Croatia,50.2,25.4,24.5,-0.1617,-0.0094,0.225,✅ YES,2 (Away)  EV=+22.50%
Ghana,Panama,2026-06-18 01:00,2.1,3.4,3.5,Ghana,Panama,43.9,27.1,29.0,-0.0781,-0.0786,0.015,✅ YES,2 (Away)  EV=+1.50%
Uzbekistan,Colombia,2026-06-18 04:00,10.0,4.7,1.35,Uzbekistan,Colombia,21.4,25.5,53.0,1.14,0.1985,-0.2845,✅ YES,1 (Home)  EV=+114.00%
Czech Republic,South Africa,2026-06-18 18:00,1.75,3.8,4.5,Czechia,South Africa,48.8,26.0,25.2,-0.146,-0.012,0.134,✅ YES,2 (Away)  EV=+13.40%
Switzerland,Bosnia & Herzegovina,2026-06-18 21:00,1.55,4.1,6.0,Switzerland,Bosnia-Herzegovina,50.5,27.7,21.9,-0.2172,0.1357,0.314,✅ YES,2 (Away)  EV=+31.40%
Canada,Qatar,2026-06-19 00:00,1.22,6.2,13.0,Canada,Qatar,42.0,28.5,29.6,-0.4876,0.767,2.848,✅ YES,2 (Away)  EV=+284.80%
Mexico,South Korea,2026-06-19 03:00,1.93,3.4,4.1,Mexico,South Korea,48.8,26.0,25.2,-0.0582,-0.116,0.0332,✅ YES,2 (Away)  EV=+3.32%
USA,Australia,2026-06-19 21:00,1.47,4.7,6.2,United States,Australia,74.8,17.4,7.8,0.0996,-0.1822,-0.5164,✅ YES,1 (Home)  EV=+9.96%
Scotland,Morocco,2026-06-20 00:00,4.4,3.4,1.87,Scotland,Morocco,31.8,27.2,41.0,0.3992,-0.0752,-0.2333,✅ YES,1 (Home)  EV=+39.92%
Brazil,Haiti,2026-06-20 03:00,1.07,13.0,22.0,Brazil,Haiti,67.4,22.3,10.3,-0.2788,1.899,1.266,✅ YES,X (Draw)  EV=+189.90%
Turkey,Paraguay,2026-06-20 05:00,1.97,3.3,4.1,Turkey,Paraguay,81.8,15.2,3.0,0.6115,-0.4984,-0.877,✅ YES,1 (Home)  EV=+61.15%
Netherlands,Sweden,2026-06-20 19:00,1.57,4.2,5.5,Netherlands,Sweden,47.9,25.1,27.0,-0.248,0.0542,0.485,✅ YES,2 (Away)  EV=+48.50%
Germany,Ivory Coast,2026-06-20 22:00,1.52,4.6,5.7,Germany,Ivory Coast,47.5,24.6,27.9,-0.278,0.1316,0.5903,✅ YES,2 (Away)  EV=+59.03%
Ecuador,Curaçao,2026-06-21 02:00,1.17,7.8,14.0,Ecuador,Curaçao,52.8,26.0,21.2,-0.3822,1.028,1.968,✅ YES,2 (Away)  EV=+196.80%
Tunisia,Japan,2026-06-21 06:00,5.8,3.6,1.65,Tunisia,Japan,28.5,27.1,44.4,0.653,-0.0244,-0.2674,✅ YES,1 (Home)  EV=+65.30%
Spain,Saudi Arabia,2026-06-21 18:00,1.09,10.5,23.0,Spain,Saudi Arabia,62.4,23.5,14.2,-0.3198,1.4675,2.266,✅ YES,2 (Away)  EV=+226.60%
